Nombre;Traduction_soussou
271;k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn kérén
272;k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn ̀fírín
273;k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn sàxán
274;k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn náání
275;k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn súlí
276;k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn sénní
277;k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn sólófèré
278;k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn sólómásàxán
279;k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn sólómánáání
280;k̀ɛḿɛ ̀fírín tòngó sólómásàxán
281;k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn kérén
282;k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn ̀fírín
283;k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn sàxán
284;k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn náání
285;k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn súlí
286;k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn sénní
287;k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn sólófèré
288;k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn sólómásàxán
289;k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn sólómánáání
290;k̀ɛḿɛ ̀fírín tòngó sólómánáání
291;k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn kérén
292;k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn ̀fírín
293;k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn sàxán
294;k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn náání
295;k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn súlí
296;k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn sénní
297;k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn sólófèré
298;k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn sólómásàxán
299;k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn sólómánáání
300;k̀ɛḿɛ sàxán
301;k̀ɛḿɛ sàxán kérén
302;k̀ɛḿɛ sàxán ̀fírín
303;k̀ɛḿɛ sàxán sàxán
304;k̀ɛḿɛ sàxán náání
305;k̀ɛḿɛ sàxán súlí
306;k̀ɛḿɛ sàxán sénní
307;k̀ɛḿɛ sàxán sólófèré
308;k̀ɛḿɛ sàxán sólómásàxán
309;k̀ɛḿɛ sàxán sólómánáání
310;k̀ɛḿɛ sàxán fuú
311;k̀ɛḿɛ sàxán fuú nŭn kérén
312;k̀ɛḿɛ sàxán fuú nŭn ̀fírín
313;k̀ɛḿɛ sàxán fuú nŭn sàxán
314;k̀ɛḿɛ sàxán fuú nŭn náání
315;k̀ɛḿɛ sàxán fuú nŭn súlí
316;k̀ɛḿɛ sàxán fuú nŭn sénní
317;k̀ɛḿɛ sàxán fuú nŭn sólófèré
318;k̀ɛḿɛ sàxán fuú nŭn sólómásàxán
319;k̀ɛḿɛ sàxán fuú nŭn sólómánáání
320;k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ
321;k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn kérén
322;k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn ̀fírín
323;k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn sàxán
324;k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn náání
325;k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn súlí
